r,g,b,RGB,Spanish,EN_ES,Russian,EN_RU,German,EN_DE,French,EN_FR,Chinese,EN_ZH,Italian,EN_IT,Korean,EN_KO,Japanese,EN_JA,name,short_name,med_name,cx,cy
31,138,19,3113819,color verde oscuro,Dark Green,зеленый,Green,dunkelgrün,Dark Green,vert herbe prairie,Green Grass Meadow,绿色,Green,verde,Green,녹색,Green,緑,Green,Dark Grass Green,Green,Retro Green,276.3749236,362.3116305
3,119,200,3119200,azul,Blue,синий,Blue,himmelblau,Sky-Blue,bleu,Blue,藍色,Blue,azzurro,Blue,파랑,Blue,青,Blue,Dark Light Blue,Blue,Medium Blue,178.998912,211.6446334
31,249,89,3124989,verde,Green,ярко-салатовый,Bright Green,Limone,Lime,vert,Green,綠色,Green,Verde pastello scuro,Dark Pastel Green,연두색,Green,みどり,Green,Electric Green,Green,Seafoam Green,163.6777044,469.0616716
3,133,223,3133223,color azul,Blue,ярко-синий,Bright Blue,blau,Blue,bleu,Blue,彩蓝色,Color Blue,blu,Blue,옅은푸른색,Light blue,ブルー,Blue,Dark Cornflower,Blue,Bright Blue,146.4990509,194.9440398
31,64,163,3164163,azul rey,Royal Blue,тупой темно-синий,Dull Dark Blue,blau,Blue,bleu nuit clair,Blue Night Light,藍色,Blue,Celeste,Navy Blue,파란,Blue,あお,Blue,Midnight-Sky Blue,Blue,Twilight Blue,230.3659737,197.5555635
3,190,111,3190111,verde,Green,зелёный,Green,grün,Green,vert marée,Green Tide,綠色,Green,verde,Green,연두색,Green,みどり,Green,Watermelon Green,Fern,Green Green,173.4587529,319.6359653
3,190,115,3190115,verde,Green,зеленый,Green,grün,Green,vert,Green,绿色,Green,verde,Green,초록색,Green,みどり,Green,Sea Glass Green,Fern,Green Green,180.423218,344.4824949
3,194,225,3194225,azul claro,Blue,голубой,Azure,blau,Blue,bleu,Blue,深天藍,Deep Sky Blue,blu,Blue,파랑,Blue,空色,Azure,Bright Sky Blue,Aqua,Invidia Blue,128.9629772,239.0988728
32,148,99,3214899,verde oscuro,Dark Green,зеленый,Green,grün,Green,vert,Green,軍綠色,Army Green,verde,Green,진녹색,Dark green,みどり,Green,Deep Turquoise,Green,Forrest Green,209.4777082,320.9834732
32,162,57,3216257,verde,Green,зеленый,Green,sattes grün,Lush Green,vert,Green,绿色,Green,verde chiaro,Light Green,짙은 녹색,Dark green,緑色,Green,Deep Grass Green,Green,Medium Green,261.3576435,373.4720255
32,208,11,3220811,verde,Green,зеленый,Green,grün,Green,vert,Green,绿色,Green,Verde prato estivo,Green Summer Meadow,녹색,Green,緑,Green,Candy Apple Green,Lime,Lizard Green,252.4025709,429.1941382
32,216,40,3221640,verde,Green,салатовый,Green,grasgrün,Grass Green,vert,Green,明亮的绿色,Bright Green,verde brillante,Bright Green,밝은녹색,Bright green,緑,Green,Bright Spring Green,Green,Greatly Green,231.092376,420.9412237
32,251,92,3225192,verde claro,Light Green,Зеленый,Green,grün,Green,vert,Green,绿色,Green,j,Green,연한 녹색,Light green,緑,Green,Bright Neon Green,Lime,Seafoam Green,152.1673405,466.9632211
32,39,184,3239184,azul,Blue,синий,Blue,signalblau,Signal Blue,bleu nuit clair,Blue Night Light,蓝色,Blue,blu,Blue,파랑,Blue,青,Blue,A Shade Of Blue,Blue,Bright Blue,239.151787,177.4668477
32,43,190,3243190,azul francia,France Blue,синий,Blue,dunkelblau,Dark Blue,bleu,Blue,蓝色,Blue,blu,Blue,푸른,Blue,青,Blue,Dark Ocean Blue,Blue,Bright Blue,233.3643135,180.6901802
32,48,144,3248144,azul,Blue,синий,Blue,dunkelblau,Dark Blue,bleu,Blue,藍色,Blue,blu,Blue,청색,Blue,こんいろ,Deep blue,Blue Eyed Girl,Blue,Midnight Blue,257.0553737,209.6128726
3,255,255,3255255,celeste,Celestial,аквамарин,Aquamarine,türkis,Turquoise,turquoise,Turquoise,藍色,Blue,azzurro,Blue,하늘색,Sky blue,空色,Azure,Bright Teal Blue,Blue,Bright Blue,68.1484949,288.3688227
32,67,147,3267147,azul,Blue,темно-синий,Dark Blue,blau,Blue,bleu,Blue,蓝,Blue,Azzuro scuro,Blue,청색,Blue,青,Blue,Light Navy Blue,Blue,Darker Blue,229.6698264,211.2899641
32,70,223,3270223,azul oscuro,Dark Blue,ярко-синий,Bright Blue,mattblau,Matt Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑,Blue,青,Blue,Medium Royal Blue,Blue,Electric Blue,203.5580722,143.4997352
33,103,52,3310352,verde,Green,Зеленый,Green,dunkelgrün,Dark Green,vert,Green,草色,Grass,smeraldo,Green,녹색,Green,緑,Green,Pine Tree Green,Green,Green,255.0088349,315.7389752
33,11,195,3311195,azul,Blue,Синий,Blue,Blau,Blue,bleu,Blue,藍色,Blue,blu brillante,Blue,푸른,Blue,青,Blue,Bright Blue Sun,Blue,Bright Blue,251.7785691,145.247127
33,152,96,3315296,verde,Green,зелёный,Green,Grün,Green,vert,Green,綠色,Green,verde,Green,녹색,Green,緑,Green,Mariner Blue-Green,Green,Forrest Green,217.9019105,333.3676804
33,225,54,3322554,verde,Green,ярко зеленый,Bright Green,gift grün,Acid Green,vert clair,Light Green,绿色,Green,verde,Green,녹색,Green,緑,Green,Dark Lime Green,Green,Emerald Green,204.7569409,444.3481478
33,235,31,3323531,verde fluorescente,Green Fluorescent,салатовый,Green,Grün,Green,vert printemps,Spring Green,绿色,Green,verde,Green,밝은녹색,Bright green,みどり,Green,Bright Lime Green,Lime,Bright Green,221.0646831,462.3603359
33,40,245,3340245,azul,Blue,Синий,Blue,blau,Blue,bleu roi,Royal Blue,淡蓝色,Light Blue,blu,Blue,파랑,Blue,青,Blue,Bright Bright Medium Blue,Blue,Deep Sea Blue,188.9777201,103.955006
34,165,64,3416564,verde madera,Wood Green,зеленый алмаз,Green Diamond,grün,Green,vert,Green,绿色,Green,nature,Green,녹색,Green,グリーン,Green,Freshly Mowed Grass,Green,Medium Green,239.0601139,366.3845739
34,167,78,3416778,verde esmeralda,Emerald Green,зеленый,Green,mittleres Seegrün,Mean Sea Green,vert,Green,綠色,Green,verde,Green,녹색,Green,みどり,Green,Flat Fat Green,Green,Cartoon Green,226.3760473,370.1230174
34,17,220,3417220,azul,Blue,темно-синий,Dark Blue,blau,Blue,bleu,Blue,蓝色,Blue,Blu,Blue,청색,Blue,青,Blue,Bluer Than Blue,Blue,Seaside Blue,249.1960743,117.1264981
34,187,69,3418769,verde,Green,зеленый,Green,Grün,Green,vert,Green,绿色,Green,verde,Green,연녹색,Pale green,緑,Green,Pleasant Green,Green,Allegra Green,216.5347906,390.1080984
34,188,49,3418849,verde,Green,Зеленый,Green,grün,Green,vert,Green,綠色,Green,verde,Green,녹색,Green,みどり,Green,Watermelon Green,Green,Allegra Green,233.1831879,388.7536749
34,205,96,3420596,verde,Green,светло-зелёный,Light Green,grün,Green,vert,Green,綠色,Green,verde,Green,초록색,Green,緑色,Green,Deep Mint Green,Lime,Bright Green,190.6272094,399.6225199
34,230,82,3423082,verde,Green,ярко-салатовый,Bright Green,hellgrün,Lime,vert,Green,螢光綠色,Fluorescent Green,verde,Green,녹색,Green,グリーン,Green,Bright Endless Meadows Green,Green,Vibrant Green,188.6599295,431.6350192
34,237,20,3423720,Verde Neon Intenso,Intense Neon Green,салатовый,Green,Neongrün,Neon Green,vert,Green,若緑,If The Green,verde,Green,연두색,Green,緑,Green,Lime Neon Green,Green,Treetop Green,233.9615083,489.9904135
34,47,121,3447121,azul oscuro,Dark Blue,синий,Blue,Signalblau,Bright Blue,BLEU FONCE,Dark Blue,暗礦藍,Dark Mine Blue,blu,Blue,청색,Blue,紺,Navy blue,Light Navy Blue,Blue,Blue,258.5298499,222.3803175
34,53,225,3453225,azul rey,Royal Blue,синий,Blue,stahlblau,Steel Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑색,Blue,青,Blue,Bright Deep Blue,Blue,Electric Blue,208.188396,136.9542091
34,60,133,3460133,Azul Oscuro,Dark Blue,темно-синий,Dark Blue,dunkelblau,Dark Blue,bleu nuit sans lune,Blue Moonless Night,暗藍色,Dark Blue,sereno,Azure,파란색,Blue,紺,Navy blue,Deep Slate Blue,Blue,Cadet Blue,244.6358659,222.9449954
35,116,28,3511628,verde mas oscuro,Darker Green,зеленый,Green,grün,Green,vert,Green,綠色,Green,verde pastello,Green,짙은 초록,Dark green,暗い緑,Dark green,Tropical Rain Forrest,Green,Deep Green,282.0982726,347.1895035
35,153,87,3515387,verdoso,Greenish,Зелёный,Green,Grün,Green,vert,Green,海绿色,Sea Green,verde,Green,녹색,Green,青緑,Blue green,Very Veggie Green,Green,Forrest Green,223.0472589,345.8918894
35,228,38,3522838,verde,Green,зеленый,Green,grün,Green,vert,Green,綠色,Green,verde,Green,밝은녹색,Bright green,ライム,Lime,Florescent Green,Lime,Bright Green,227.1175889,460.4620661
35,237,22,3523722,VERDE MANZANA,Green Apple,салатовый,Green,Grün,Green,vert,Green,亮綠色,Bright Green,verde,Green,초록색,Green,緑,Green,Bright Lime Green,Green,Treetop Green,242.7133667,484.4060454
35,254,37,3525437,VERDE VIVO,Live Green,Зеленый,Green,leuchtgrün,Fluorescent Green,vert,Green,绿色,Green,verde,Green,연두색,Green,緑,Green,Electric Green,Lime,Bright Green,191.51305,505.258215
36,202,61,3620261,VERDE PASTO,Green Grass,салатовый,Green,Helles Moosgrün,Bright Green Moss,vert,Green,淡绿色,Light Green,blu,Green,녹색,Green,緑,Green,Mountain Green,Green,Green Sorbet,214.4782646,409.3461327
36,254,30,3625430,verde,Green,зеленый,Green,gift grün,Acid Green,vert,Green,绿,Green,nero,Light Green,밝은녹색,Bright green,明るいライム,Bright lime,Radioactive Peas,Lime,Bright Green,206.7583455,512.4627104
36,32,213,3632213,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,蓝色,Blue,blu,Blue,파란,Blue,ブルー,Blue,Jeweltone Blue,Blue,Blueberry Bush,234.3125632,141.5184121
36,46,246,3646246,azul,Blue,Синий,Blue,königsblau,Royal Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑,Blue,青,Blue,Palantine Blue,Blue,Deep Sea Blue,167.0657438,110.0784374
36,63,193,3663193,Azul Neutral,Neutral Blue,синий,Blue,blau,Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑,Blue,コーンフラワーブルー,Cornflower blue,Bright Briliant Blue,Blue,Blazing Blue,227.214696,179.5341705
36,77,162,3677162,azul,Blue,синий,Blue,blau,Blue,cyan,Cyan,鈷藍,Cobalt Blue,blu,Blue,단정한파란색,A blue,ブルー,Blue,Little Boy Blue,Blue,Twilight Blue,222.6978489,211.1250771
36,78,175,3678175,azul obscuro,Dark Blue,синий,Blue,blau,Blue,bleu,Blue,藍色,Blue,blu,Blue,푸른,Blue,ブルー,Blue,Serge Suit Blue,Blue,Scottish Blue,210.080959,197.1221447
37,201,77,3720177,verde,Green,зеленый,Green,grün,Green,vert,Green,绿色,Green,verde,Green,연두색,Green,みどり,Green,Bright Leprechaun Green,Lime,Bright Green,197.7295373,406.1453528
37,202,76,3720276,verde,Green,Зелёный,Green,grün,Green,vert,Green,绿色,Green,verde,Green,녹색,Green,緑,Green,Soft Kelly Green,Lime,Bright Green,201.6959315,418.4644082
37,21,249,3721249,azul,Blue,синий,Blue,Blau,Blue,bleu,Blue,藍色,Blue,sereno,Blue Light,파랑,Blue,青,Blue,Butterfly Blue,Blue,Bright Blue,215.9707592,96.43346792
37,62,206,3762206,azul,Blue,ярко-синий,Bright Blue,blau,Blue,bleu,Blue,藍色,Blue,blu,Blue,파란색,Blue,青,Blue,Before Midnight Blue,Blue,Goodbye Blues,216.4313584,147.511995
37,72,180,3772180,azul,Blue,синий,Blue,blau,Blue,Bleu marine clair,Blue Light Navy,蓝色,Blue,a,Purple,파랑,Blue,青,Blue,Briliant Midnight,Blue,Scottish Blue,223.4398891,185.4225853
37,90,184,3790184,azul,Blue,синий,Blue,blau,Blue,bleu debut nuit,Blue Early Night,蓝,Blue,blu,Blue,청,Blu,青,Blue,Blue (Pigment),Blue,Another Blue,199.0709996,187.0504613
38,15,189,3815189,azul claro,Blue,синий,Blue,Königsblau,Royal Blue,bleu,Blue,藍色,Blue,blu,Prussian Blue,파란색,Blue,青,Blue,Deep Royal Blue,Blue,Bright Blue,253.9887705,158.7306829
38,189,97,3818997,verde,Green,зелёный травянистый,Green Grass,mai-grün,Mai-Green,Menthe,Mint,绿色,Green,verde,Green,초록색,Green,緑色,Green,Light Green Yellow,Green,Pigment Green,199.5758764,383.1507027
38,218,53,3821853,verde,Green,светло зеленый,Light Green,grün,Green,vert,Green,绿色,Green,verde acceso,Bright Green,녹색,Green,緑,Green,Irredescent Green,Green,Spring Green,221.4293001,431.586597
38,248,45,3824845,verdoso,Greenish,Зелёный,Green,neongrün,Neon Green,vert,Green,綠色,Green,verde,Green,초록색,Green,ニオングリーン,Green anion,Electric Green,Lime,Bright Green,194.2135733,499.5463453
38,78,248,3878248,azul rey claro,Royal Blue Clear,синий,Blue,Blau,Blue,bleu,Blue,青色,Blue,blu,Blue,파랑,Blue,青,Blue,Copper Sulphate Blue,Blue,Bllue Smoothie,179.1216155,117.93032
39,103,47,3910347,verde,Green,зеленый,Green,Dunkelgrün,Dark Green,vert,Green,墨绿色,Dark Green,verde,Green,초록색,Green,緑,Green,Dull Forest Green,Green,Forest Green,290.2119826,339.3705859
39,104,84,3910484,verde,Green,зеленый,Green,grün,Green,vert,Green,藏绿色,Possession Of The Green,verde scuro,Dark Green,녹색,Green,みどり,Green,Kool Green Tree,Green,Green,243.8403695,308.7919213
39,119,20,3911920,color verde oscuro,Dark Green,тёмно=зелёный,Dark Green =,Grasgrün,Grass Green,vert bouteille clair,Bottle Green Light,绿色,Green,verde scuro,Dark Green,짙은 녹색,Dark green,深い緑色,Dark green,Pool Felt Green,Green,Avocado Moss,295.6657958,341.9843078
39,144,11,3914411,verde pasto,Green Grass,зеленый,Green,grün,Green,vert,Green,绿色,Green,verde,Green,초록색,Green,緑色,Green,Green Spring Grass,Green,Green,283.8984468,380.6684705
39,21,205,3921205,azul iscuro,Blue Iscuro,синий,Blue,dunkelblau,Dark Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑색,Blue,青,Blue,Blue-Ish Purple,Blue,Briliant Blue,245.8382561,147.8419264
39,227,21,3922721,verde limon,Lime Green,зеленый,Green,grün,Green,vert fluo,Fluorescent Green,荧光绿色,Fluorescent Green,verde brillante,Bright Green,녹색,Green,みどり,Green,Popping Verdant,Lime,Bright Green,238.0287197,468.9509424
39,232,51,3923251,verde claro,Light Green,Зеленый,Green,Limone,Lime,vert printemps,Spring Green,绿色,Green,h,Green,밝은 초록 형광색,Bright green fluorescent,みどり,Green,Traffic Light Green,Lime,Bright Green,211.4356737,469.0429352
39,240,40,3924040,verde,Green,ярко-салатовый,Bright Green,Grün,Green,vert,Green,绿,Green,verde,Green,녹색,Green,緑,Green,Energetic Green,Lime,Bright Green,236.8277373,483.4930173
39,247,63,3924763,Verde Claro,Light Green,ярко-зеленый,Bright Green,grasgrün,Grass Green,vert,Green,綠色,Green,verde,Green,밝은 녹색,Bright green,若草色,Bright green,Fluorescent Green,Green,Bright Green,198.4960344,482.6802645
39,253,69,3925369,verde fosforescente,Fluorescent Green,ядовито-зелёный,Toxic Green,froschgrün,Green Frog,vert pré,Green Meadow,淡绿色,Light Green,verde chiaro,Light Green,밝은 녹색,Bright green,ライトグリーン,Light Green,Florescent Green,Green,Bright Green,178.8654254,484.4986575
39,54,130,3954130,azul,Blue,Синий,Blue,dunkelblau,Dark Blue,bleu marine,Navy Blue,浓蓝,Thick Blue,blu,Blue,네이비,Navy,青い,Blue,Almost Navy Blue,Blue,Dark Blue,264.2882097,217.9867262
39,87,207,3987207,azul,Blue,тёмно-голубой,Dark Blue,blau,Blue,bleu,Blue,蓝色,Blue,azzurro,Blue,파랑,Blue,青,Blue,Bright Dark Blue,Blue,Dark Sky Blue,199.1875355,163.3836794
40,122,13,4012213,verde soldado,Green Soldier,темно-зеленый,Dark Green,grün,Green,vert foncé,Dark Green:,綠色,Green,verde,Green,초록색,Green,緑,Green,Turtle Moss Green,Green,Meadow Green,296.5684966,354.81204
40,178,10,4017810,verde,Green,ярко-зеленый,Bright Green,leuchtend grün,Bright Green,vert,Green,綠色,Green,verde,Green,녹색,Green,緑,Green,Parakeet Green,Green,Bright Green,267.9112585,407.1761628
40,230,27,4023027,verde,Green,салатовый,Green,grün,Green,vert,Green,明亮的绿色,Bright Green,verde brillante,Green,연두색,Green,黄緑,Yellow-green,Bright Lime Green,Lime,Bright Green,241.2320018,476.9357071
40,239,71,4023971,color verde claro,Light Green,салатный,Light Green,gift grün,Acid Green,vert,Green,绿色,Green,verde,Green,연한 초록색,Light green,ネオングリーン,Neon green,Highlighter Green,Green,Summer Green,196.0085999,459.9499697
40,240,18,4024018,verde,Green,светло-жёлто-зелёный,Pale Yellow-Green,grasgrün,Grass Green,vert,Green,绿色,Green,verde,Green,밝은녹색,Bright green,緑,Green,Neon Lime Green,Lime,Treetop Green,225.6301109,490.7881147
40,250,99,4025099,verde pistache,Pistachio Green,яркий нежно-зелёный,Bright Pale-Green,mintgrün,Mint Green,vert pètant,Bright Green,葱绿,Light Green,verde,Green,콘트라녹색,Contra green,緑,Green,Bright Light Green,Green,Electric Green,152.4027044,460.7855524
40,27,178,4027178,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,藍色,Blue,bleu scuro,Dark Blue,푸른,Blue,青,Blue,Deep And Bright Blue,Blue,Purplish Blue,262.3965044,165.2729423
40,46,156,4046156,azul tarquia naval,Navy Blue Tarquia,темно синий,Dark Blue,blau,Blue,bleu,Blue,藍,Blue,indaco,Navy Blue,파랑,Blue,藍色,Indigo,Deep Blue Purple,Blue,Bubble Blue,247.1865638,205.7119473
40,83,162,4083162,azul,Blue,темно-синий,Dark Blue,blau,Blue,bleu,Blue,紫色,Purple,blu,Aqua Privies,파란색,Blue,青,Blue,Light Royal Blue,Blue,Royal Blue,215.5814411,212.9514999
40,88,213,4088213,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,蓝,Blue,blue scuro,Sky Blue,청색,Blue,青,Blue,Cornflower Blue,Blue,Deep Sea Blue,195.7870907,168.6891126
40,89,137,4089137,celeste oscuro,Dark Blue,синий,Blue,blau,Blue,bleu,Blue,午夜蓝,Midnight Blue,h,Blue,푸른색,Blue,紺青,Iron blue,Dark Midnight Blue,Blue,Nautical Blue,239.0276449,227.9020998
40,92,154,4092154,azul oscuro,Dark Blue,Синий,Blue,stahlblau,Steel Blue,bleu,Blue,藍色,Blue,blu scuro,Dark Blue,파랑색,Blue,青い,Blue,Aqua Marine Blue,Blue,Pastel Blue,219.0425264,225.0243175
40,94,144,4094144,azul militar,Military Blue,темно-синий,Dark Blue,blau,Blue,bleu,Blue,蓝色,Blue,blu,Blue,군청색,Ultramarine,青,Blue,Whitewash Royal Blue,Blue,Navy Blue,219.1061121,219.2307223
40,97,121,4097121,azul mate,Matt Blue,синий,Blue,blau,Blue,blue,Blue,礦藍,Mine Blue,blu,Blue,어두운파랑,Dark blue,青緑,Blue green,Bluer Than Blue,Sea Blue,Dark Turqoise,238.0926481,253.9375142
41,101,69,4110169,verde fuerte,Strong Green,Зелёный,Green,grün,Green,vert,Green,墨绿色,Dark Green,verde scuro,Green,진한녹색,Dark green,みどり,Green,Dark Blue-Green,Green,Forest Green,267.4532905,317.0431637
4,111,120,4111120,azul mar,Blue Sea,морская волна,Sea ​​Wave,türkisblau,Turquoise Blue,vert canard,Green Duck,蓝,Blue,verde acqua scuro,Blue,푸른색,Blue,青,Blue,Turquoise Trails,Teal,Forest Green,239.7752235,275.3576044
41,117,47,4111747,verde,Green,зеленый,Green,mattgrün,Matt Green,vert,Green,绿色,Green,verde,Green,초록색,Green,緑,Green,Pine Tree Green,Pine,Green,268.0554076,336.2734469
41,132,29,4113229,verde oscuro,Dark Green,темно-зеленый,Dark Green,Grün,Green,vert,Green,绿色,Green,a,Dark Green,녹색,Green,緑,Green,Sleepy Mountain Green,Green,Hunter Green,283.5732061,361.5057054
4,118,189,4118189,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,藍色,Blue,celeste opaco,Blue,파랑,Blue,青,Blue,Medium Sky Blue,Blue,Relaxing Blue,169.0127569,220.1192542
41,185,21,4118521,Verde,Green,зелёный,Green,grasgrün,Grass Green,vert,Green,螢光綠,Fluorescent Green,verde,Green,녹색,Green,緑,Green,Caribbean Green,Green,Froggy Green,263.703571,395.9297305
41,189,56,4118956,verde paz,Green Peace,зеленый,Green,Grün,Green,vert normal,Normal Green,绿色,Green,verde,Green,녹색,Green,ライムグリーン,Lime green,Golfcourse Green,Green,Allegra Green,228.6547485,392.7358636
4,120,239,4120239,azul claro,Blue,синева,Azure,blau,Blue,bleu,Blue,藍色,Blue,blu,Blue,파랑,Blue,青,Blue,What'S New Blue,Blue,Blue Promise,138.2954899,174.5078892
41,22,148,4122148,azul marino,Navy Blue,насыщенный синий,Deep Blue,Blau,Blue,BLEU FONCE,Dark Blue,蓝色,Blue,blu notte,Blue,청색,Blue,あお,Blue,Deep Ocean Blue,Blue,Deep Purple,275.0570363,185.134994
4,125,134,4125134,azul oscuro,Dark Blue,темная морская волна,Dark Aqua,dunkeltürkis,Dark Turquoise,bleu,Blue,蓝,Blue,j,Blue,청록색,Turquoise,青い,Blue,Dark Turquoise,Blue,Blue Green,220.2258741,274.406623
4,127,253,4127253,azul calro,This Is Understandable Blue,голубой,Azure,blau,Blue,bleu,Blue,蓝色,Blue,azzurro intenso,Blue,파란색,Blue,ブルー,Blue,Bright Sky Blue,Blue,Stunning Blue,126.5598533,146.6486889
41,48,126,4148126,azul marino,Navy Blue,тёмно-синий,Dark Blue,blau,Blue,bleu,Blue,藍色,Blue,blu notte,Midnight Blue,청색,Blue,青,Blue,Starry Night Blue,Blue,Dark Blue,266.9274056,210.9918287
4,150,216,4150216,Azul piscina,Blue Pool,небесно-голубой,Celestial Blue,blau,Blue,bleu,Blue,矢菊花,Cornflower,azzurro,Blue,파랑,Blue,青色,Blue,Sky Ocean Blue,Blue,Deep Sea Blue,154.7385522,212.7505631
41,55,137,4155137,azul rey,Royal Blue,темно-синий,Dark Blue,dunkelblau,Dark Blue,bleu,Blue,深藍色,Navy Blue,blu scuro,Blue,파랑,Blue,青,Blue,Magic Marker Blue,Blue,Brad'S Blue,259.7065522,214.3353666
4,161,172,4161172,azul verdoso,Blue-Green,синий,Blue,hell blau,Light Blue,bleu,Blue,蓝色,Blue,blu,Blue,푸른,Blue,水色,Light blue,Dark Green Blue,Teal,Slate Steele,168.2409894,261.6291756
4,179,120,4179120,verde,Green,бледно-зелёный,Pale Green,grün,Green,vert pastel plus foncé,Pastel Green Darker,绿,Green,verde,Green,녹색,Green,緑,Green,Christmas Green,Teal,Vintage Green,176.4183861,327.798425
4,181,141,4181141,azul acua opaco,Aqua Blue Opaque,Изумрудный,Emerald,grün,Green,vert,Green,绿色,Green,verde caraibi,Green Caribbean,녹색,Green,みどり,Green,Shamrock Green,Sea,Blue Green,161.4760277,317.8759494
4,184,100,4184100,Verde aguacate,Avocado Green,зеленый,Green,kiwi,Kiwi,vert menthe,Mint Green,绿色,Green,verde,Green,초록색,Green,みどり,Green,Shamrock Green,Green,Vintage Green,197.4871216,345.4771351
41,87,250,4187250,azul,Blue,ярко-синий,Bright Blue,blau,Blue,bleu,Blue,藍色,Blue,blu,Navy Blue,파랑,Blue,青,Blue,Bright Baby Blue,Blue,Bllue Smoothie,169.9069642,123.2669631
41,95,206,4195206,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,普魯士藍,Prussian Blue,azzurro,Blue,파랑,Blue,普通の海色,Ocean color normal,Jewel Tone Blue,Blue,Dark Sky Blue,194.7804465,175.3876156
41,97,250,4197250,azul,Blue,сине-голубой,Blue,blau,Blue,bleu,Blue,蓝,Blue,blu,Blue,푸른색,Blue,青,Blue,Light Royal Blue,Blue,Bllue Smoothie,175.6201884,123.9054684
4,204,173,4204173,verde marino,Sea ​​Green,зеленый,Green,Mintgrün,Mint Green,vert,Green,湖水綠色,Lake Green,turchese acquamarina,Turquoise Aquamarine,옥색,Turquoise,グリーン,Green,Aquamarine Blue,Blue,Seafoam Green,137.0487557,306.461127
42,112,37,4211237,verde,Green,зеленый,Green,dunkel laub grün,Dark Green Foliage,vert gazon,Green Grass,绿色,Green,verde scuro,Dark Green,녹색,Green,みどり,Green,Oscar The Grouch Green,Green,Dark Green,283.8844035,340.1053437
42,189,24,4218924,verde,Green,Зеленый,Green,grün,Green,vert pomme granit,Apple Green Granite,绿色,Green,Verde pastello,Pastel Green,초록색,Green,緑,Green,Dark Light Green,Green,Vibrant Green,244.7917983,397.0290442
42,231,70,4223170,verde,Green,салатовый,Green,rasengrün,Grass Green,vert pomme clair flash,Apple Green Light Flash,綠色,Green,verde brillante,Green,연두색,Green,緑,Green,California Green,Green,Bright Green,194.8445986,435.2435301
42,242,83,4224283,verde,Green,мутно-зеленые,Dull Green,leuchtend grün,Bright Green,VERT,Green,石灰绿,Lime Green,verde,Green,밝은 녹색,Bright green,緑,Green,Florcent Green,Green,Electric Green,184.2790648,465.8628008
42,247,16,4224716,verde brillante,Bright Green,Зелёный,Green,hell grün,Lime,vert,Green,军绿色,Army Green,verde,Green,연두색,Green,黄緑,Yellow-green,Neon Hot Green,Green,Electric Mint,225.1465715,510.9784282
42,247,41,4224741,verde mexicano,Mexican Green,ярко-зеленый,Bright Green,Limettengrün,Lime Green,vert,Green,亮綠色,Bright Green,verde chiaro,Light Green,밝은 녹색,Bright green,ライム,Lime,Electric Green,Green,Electric Lime,199.5600285,502.7304261
4,229,190,4229190,turquesa,Turquoise,Зеленый,Green,türkis,Turquoise,aquamarine,Aquamarine,藍綠色,Blue-Green,turchese,Green,맑고 밝은 바다 색,Clear and bright ocean color,緑,Green,Swimming Pool Green,Blue,Light Teal,112.427295,327.6019487
42,45,192,4245192,azul,Blue,Синий,Blue,königsblau,Royal Blue,bleu,Blue,蓝色,Blue,blu,Blue,청색,Blue,青,Blue,Very Bright Blue,Blue,Vibrant Blue,243.5134584,172.6716938
4,253,191,4253191,Azul Claro,Light Blue,салатный,Light Green,mint,Mint,aigue-marine,Aquamarine,中等春绿色,Medium Spring Green,verde acqua luminosa,Bright Green Water,청록색,Turquoise,エメラルドグリーン,Emerald green,Toothpaste Green,Teal,Teal Blue,81.2995486,373.5337586
42,62,113,4262113,color azul oscuro,Dark Blue,синий,Blue,dunkel blau,Dark Blue,bleu marine,Navy Blue,深蓝,Deep Blue,blu,Blue,파랑,Blue,深海色,Deep-sea color,Nightshade Blue,Blue,Royal Blue,261.787741,241.5761545
43,112,40,4311240,verde montaña,Green Mountain,зелёный,Green,grün,Green,vert,Green,綠色,Green,nature,Green,진녹색,Dark green,緑,Green,Christmas Green,Green,Moss Green,277.5452872,341.2283561
43,129,84,4312984,verde grisaceo,Grayish Green,темно-зеленый,Dark Green,grün,Green,vert,Green,綠色,Green,verde,Green,연녹색,Pale green,緑,Green,Blueish Greenish,Green,Dark Green,244.1486415,320.9979403
43,159,91,4315991,verde,Green,темная морская зелень,The Dark Green Of The Sea,dunkelgrün,Dark Green,vert,Green,绿色,Green,verde,Green,초록색,Green,緑色,Green,Dim Forest Green,Green,Summer Green,226.9866683,352.2541936
43,188,78,4318878,verde,Green,светло-зеленый,Light Green,mattes grasgrün,Matt Green Grass,vert,Green,绿色,Green,verde,Green,녹색,Green,青みがかった黄緑色,Yellow-green bluish,Crocodile Green,Green,Dark Grass,210.3145496,398.7345814
